Tair,Rhair,CO2air,Cum_irr,EC_drain_PC,pH_drain_PC,water_sup,Drain
21.1,52.4,519.0,1.6,0.3,6.5,13.0,0.6
21.0,52.5,513.0,1.6,0.3,6.5,13.0,0.7
21.1,52.5,511.0,1.8,0.3,6.5,15.0,0.8
21.0,52.6,517.0,1.8,0.3,6.5,15.0,0.7
21.1,52.6,509.0,2.0,0.3,6.5,17.0,0.8
21.1,52.5,515.0,2.0,0.3,6.5,17.0,1.0
21.0,52.4,513.0,2.3,0.3,6.5,19.0,0.2
21.1,52.5,528.0,2.3,0.3,6.5,19.0,1.2
21.1,52.5,520.0,2.5,0.3,6.5,21.0,1.0
21.1,52.7,525.0,2.5,0.3,6.5,21.0,0.8
21.1,52.8,532.0,2.8,0.3,6.5,23.0,0.5
21.0,52.8,525.0,2.8,0.3,6.5,23.0,0.5
21.0,52.9,500.0,3.0,0.3,6.5,25.0,0.7
21.1,52.9,528.0,3.0,0.3,6.5,25.0,0.9
21.0,52.9,511.0,3.2,0.3,6.5,27.0,1.3
21.1,52.9,540.0,3.2,0.3,6.5,27.0,0.8
21.1,52.8,515.0,3.5,0.3,6.5,29.0,0.6
21.2,52.7,527.0,3.5,0.3,6.5,29.0,1.0
21.2,52.6,511.0,3.7,0.3,6.5,31.0,1.1
21.2,52.6,511.0,3.7,0.3,6.5,31.0,0.8
21.2,52.6,527.0,4.0,0.3,6.5,33.0,0.6
21.1,52.6,521.0,4.0,0.3,6.5,33.0,1.6
21.2,52.6,524.0,4.2,0.3,6.5,35.0,0.3
21.2,52.5,502.0,4.2,0.3,6.5,35.0,1.5
21.2,52.4,532.0,4.4,0.3,6.5,37.0,0.8
21.3,52.3,508.0,4.4,0.3,6.5,37.0,1.2
21.3,52.4,524.0,4.7,0.3,6.5,39.0,0.9
21.3,52.4,532.0,4.7,0.3,6.5,39.0,1.2
21.2,52.5,523.0,4.9,0.3,6.5,41.0,1.1
21.2,52.6,507.0,4.9,0.3,6.5,41.0,1.5
21.2,52.8,511.0,5.2,0.3,6.5,43.0,1.1
21.1,53.1,503.0,5.2,0.3,6.5,43.0,0.7
21.0,53.1,516.0,5.4,0.3,6.5,45.0,1.1
21.0,53.2,522.0,5.4,0.3,6.5,45.0,0.5
21.0,53.3,530.0,5.6,0.3,6.5,47.0,0.6
21.0,53.3,514.0,5.6,0.3,6.5,47.0,1.0
21.0,53.2,522.0,5.9,0.3,6.5,49.0,0.5
21.0,53.2,520.0,5.9,0.3,6.5,49.0,1.1
21.0,53.1,537.0,6.1,0.3,6.5,51.0,1.0
21.0,53.0,525.0,6.1,0.3,6.5,51.0,0.8
21.0,52.9,515.0,6.4,0.3,6.5,53.0,1.0
21.1,52.9,517.0,6.4,0.3,6.5,53.0,1.3
21.1,52.9,516.0,6.6,0.3,6.5,55.0,1.6
21.0,52.8,508.0,6.6,0.3,6.5,55.0,1.9
21.1,52.7,526.0,6.8,0.3,6.5,57.0,0.8
21.2,52.7,514.0,6.8,0.3,6.5,57.0,0.1
21.2,52.6,525.0,7.1,0.3,6.5,59.0,1.1
21.2,52.7,528.0,7.1,0.3,6.5,59.0,1.6
21.1,53.1,523.0,7.3,0.3,6.5,61.0,1.0
21.0,53.4,524.0,7.3,0.3,6.5,61.0,0.0
21.0,53.6,525.0,7.6,0.3,6.5,63.0,0.4
21.0,53.8,565.0,7.6,0.3,6.5,63.0,1.2
21.0,53.9,525.0,7.8,0.3,6.5,65.0,1.3
21.0,54.0,549.0,7.8,0.3,6.5,65.0,1.7
21.0,54.0,505.0,8.0,0.3,6.5,67.0,1.6
21.1,54.0,542.0,8.0,0.3,6.5,67.0,1.4
21.0,54.1,514.0,8.3,0.3,6.5,69.0,1.2
21.1,54.0,513.0,8.3,0.3,6.5,69.0,1.8
21.2,54.0,537.0,8.5,0.3,6.5,71.0,0.3
21.2,53.9,556.0,8.5,0.3,6.5,71.0,1.6
21.2,53.9,533.0,8.8,0.3,6.5,73.0,0.9
21.2,53.9,567.0,8.8,0.3,6.5,73.0,2.2
21.2,54.0,525.0,9.0,0.3,6.5,75.0,2.4
21.1,54.1,536.0,9.0,0.3,6.5,75.0,2.3
21.1,54.3,572.0,9.2,0.3,6.5,77.0,1.6
21.2,54.3,530.0,9.2,0.3,6.5,77.0,2.5
21.2,54.3,567.0,9.5,0.3,6.5,79.0,3.0
21.2,54.0,536.0,9.5,0.3,6.5,79.0,1.1
21.3,53.8,536.0,9.7,0.3,6.5,81.0,0.4
21.4,53.7,546.0,9.7,0.3,6.5,81.0,1.8
21.4,53.8,561.0,10.0,0.3,6.5,83.0,1.8
21.7,53.2,532.0,10.0,0.3,6.5,83.0,1.5
22.4,51.8,558.0,10.2,0.3,6.5,85.0,2.3
21.9,57.5,511.0,10.2,0.3,6.5,85.0,1.3
22.3,56.4,508.0,10.4,0.3,6.5,87.0,1.7
22.3,54.9,534.0,10.4,0.3,6.5,87.0,1.9
22.4,53.7,550.0,10.7,0.3,6.5,89.0,2.1
22.3,52.7,536.0,10.7,0.3,6.5,89.0,1.7
22.0,54.5,564.0,10.9,0.3,6.5,91.0,2.0
22.0,54.5,539.0,10.9,0.3,6.5,91.0,1.7
22.3,53.9,521.0,11.2,0.3,6.5,93.0,1.6
22.7,53.2,536.0,11.2,0.3,6.5,93.0,3.0
22.4,56.4,550.0,11.4,0.3,6.5,95.0,1.5
23.0,54.9,558.0,11.4,0.3,6.5,95.0,2.4
22.9,56.9,542.0,11.6,0.3,6.5,97.0,1.0
22.8,59.2,568.0,11.6,0.3,6.5,97.0,1.9
23.1,58.0,562.0,11.9,0.3,6.5,99.0,1.9
23.2,57.1,549.0,11.9,0.3,6.5,99.0,2.2
23.2,56.5,560.0,12.1,0.3,6.5,101.0,1.8
23.4,55.8,528.0,12.1,0.3,6.5,101.0,1.3
23.3,56.3,530.0,12.4,0.3,6.5,103.0,2.1
23.2,57.1,542.0,12.4,0.3,6.5,103.0,2.3
23.1,57.0,493.0,12.6,0.3,6.5,105.0,3.4
23.1,56.9,506.0,12.6,0.3,6.5,105.0,3.4
23.1,56.3,522.0,12.8,0.3,6.5,107.0,3.6
23.1,55.9,533.0,12.8,0.3,6.5,107.0,1.8
23.1,55.3,506.0,13.1,0.3,6.5,109.0,1.1
22.9,55.3,517.0,13.1,0.3,6.5,109.0,2.2
22.7,56.7,566.0,13.3,0.3,6.5,111.0,1.5
22.7,56.5,515.0,13.3,0.3,6.5,111.0,0.8
22.7,56.0,584.0,13.6,0.3,6.5,113.0,1.2
22.6,56.2,528.0,13.6,0.3,6.5,113.0,0.8
22.6,56.5,545.0,13.8,0.3,6.5,115.0,2.0
22.6,56.5,561.0,13.8,0.3,6.5,115.0,0.4
22.6,57.1,586.0,14.0,0.3,6.5,117.0,1.0
22.4,58.3,567.0,14.0,0.3,6.5,117.0,1.5
22.3,58.9,577.0,14.3,0.3,6.5,119.0,1.3
22.2,59.4,579.0,14.3,0.3,6.5,119.0,1.6
21.9,59.4,590.0,14.5,0.3,6.5,121.0,1.1
22.0,58.2,569.0,14.5,0.3,6.5,121.0,1.7
22.3,58.2,605.0,14.8,0.3,6.5,123.0,2.0
22.3,56.9,578.0,14.8,0.3,6.5,123.0,0.8
22.3,57.2,571.0,15.0,0.3,6.5,125.0,1.8
22.4,57.3,548.0,15.0,0.3,6.5,125.0,2.1
22.5,57.4,531.0,15.2,0.3,6.5,127.0,2.6
22.5,57.5,550.0,15.2,0.3,6.5,127.0,1.7
22.5,58.1,545.0,15.5,0.3,6.5,129.0,2.4
22.4,58.6,515.0,15.5,0.3,6.5,129.0,2.6
22.4,59.2,548.0,15.7,0.3,6.5,131.0,1.6
22.3,60.0,560.0,15.7,0.3,6.5,131.0,2.2
22.2,60.5,528.0,16.0,0.3,6.5,133.0,2.4
22.2,60.8,545.0,16.0,0.3,6.5,133.0,1.4
22.1,61.3,568.0,16.2,0.3,6.5,135.0,2.5
21.8,62.9,554.0,16.2,0.3,6.5,135.0,2.5
20.7,71.8,555.0,16.2,0.3,6.5,135.0,2.0
21.6,68.0,597.0,16.2,0.3,6.5,135.0,1.9
22.1,64.4,609.0,16.2,0.3,6.5,135.0,1.7
22.5,63.4,601.0,16.2,0.3,6.5,135.0,1.9
22.4,67.1,602.0,16.2,0.3,6.5,135.0,0.9
